Action	Source IP	Destination IP	Protocol	Reason
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	98.98.225.137	192.168.0.215	6	
Allowed	192.168.0.215	98.98.225.137	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	140.82.114.26	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	140.82.114.26	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.32	224.0.0.251	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	192.168.0.1	17	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.1	192.168.0.215	17	
Allowed	192.168.0.215	192.168.0.1	1	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.215	20.42.73.28	6	
Allowed	20.42.73.28	192.168.0.215	6	
Allowed	192.168.0.32	224.0.0.251	17	
Blocked	192.168.0.215	43.154.254.18	17	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	192.168.0.215	20.42.73.28	6	IP Manually Blocked
Blocked	43.154.254.18	192.168.0.215	17	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
Blocked	20.42.73.28	192.168.0.215	6	IP Manually Blocked
